Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.566805268,0,3.721,35.7,0.005506,0.65,0.014,87.03,1.326,6403,1.086,1.127
0.566805514,0,4.367,85.3,0.008194,0.82,0.0127,88.7,1.192,5115,0.917,0.842
0.566805859,0,3.835,61.1,0.00769,1.25,0.0146,51.32,1.159,6413,1.494,1.299
0.566805887,0,5.2317,1.7,0.001289,0.08,0.0111,42.38,1.031211,5000,0.549,0.561
0.566807422,0,5.148,26.1,0.006672,1.13,0.0132,12.78,1.01,5616,1.547,0.958
0.566807725,0,2.16,31.5,0.004986,0.94,0.0133,85.73,2.081,5018,1.734,0.985
0.566809491,0,3.156,69.5,0.007736,0.55,0.0115,69.94,1.413,4987,0.654,0.637
0.566810643,0,3.471,45.6,0.00626,0.52,0.0126,76.68,1.367,5776,0.758,0.832
0.566810701,0,6.19,200,0.018177,1.49,0.0124,13.58,1.0102,5593,0.752,0.791
0.56681118,,2.06,,,,,,,,,
0.566811926,0,4.181,82.6,0.008837,0.91,0.0132,53.06,1.133,6165,0.942,0.965
0.566812588,0,3.596,17.1,0.003804,0.71,0.0134,86.68,1.3579,6194,1.718,1.008
0.566813319,0,3.752,129,0.206142,23.19,0.014,9.71,1.213,6108,1.03,1.132
0.566813677,0,2.458,61.2,0.00732,0.77,0.0136,75.01,1.736,6106,0.966,1.043
0.566814046,0,4.049,42.1,0.006227,0.56,0.0127,56.95,1.16,5724,0.827,0.845
0.566816802,0,1.981,94,0.008803,0.68,0.0119,78.74,2.123,4665,0.704,0.695
0.56681727,0,1.779,35.9,0.005444,0.42,0.0123,89.04,2.52,5481,0.708,0.806
0.56683399,,0.75,,,,,,,,,
0.567493852,0,1.35349,7980,0.38733,65.47,0.0134,54.45,2.1924,6370,1.548,0.986
0.567856484,0,1.0258,335,0.016679,1.55,0.0125,85.49,4.126,5073,0.853,0.806
0.56818769,,2,,,,,,,,,
0.568874717,0,1.2177,378,0.017496,1.49,0.0128,89.23,3.675,5223,0.78,0.889
0.569115097,0,3.5028,586000,0.838661,156.15,0.0152,79.82,2.513,7174,1.705,1.43
0.569115976,0,2.028,797,0.025083,1.8,0.0116,88.28,2.275,4788,0.656,0.639
0.569961046,0,1.446,44.2,0.006148,1.04,0.0135,83.25,2.922,5814,1.549,1.019
0.570828503,0,0.915,174,0.012689,0.54,0.01,81.1,3.93,3585,0.388,0.406
0.570953851,0,0.998,76.1,0.008053,1.01,0.0143,89.24,4.44,6238,1.145,1.193
0.571038347,0,1.1267,242,0.017056,1.65,0.0126,66.6,2.21,5132,0.886,0.82
0.571940563,0,0.9031,54.3,0.007523,1.88,0.0137,75.36,3.13,5827,2.286,1.047
0.572079631,0,2.27811,128000,0.422048,29.45,0.0116,71.51,2.5,5233,0.639,0.627
0.572513875,0,2.353,49.3,0.006287,0.52,0.0125,88.85,1.963,5171,0.76,0.793
0.572937573,0,2.576,80.8,0.009023,1.57,0.0156,55.58,1.384,7338,1.593,1.553
0.573036404,0,1.3176,4170,0.076322,9.97,0.0136,63.03,2.0604,5745,1.196,1.018
0.573709256,0,1.4932,131,0.011194,7.05,0.0159,72.66,2.317,5261,5.769,1.639
0.573762943,0,2.196,48.3,0.00631,0.39,0.0112,86.42,2.08,4891,0.571,0.572
0.575445783,0,0.8463,29.3,0.004983,1.3,0.0149,88.42,5.200439,6215,2.396,1.327
0.575884418,0,2.0734,272,0.273374,31.17,0.014,18.77,1.329,6290,1.044,1.097
